,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.389,nan,nan,nan,nan,nan,nan,0.000,1.818
Soil12_CE_229_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.583,nan,nan,nan,nan,nan,nan,0.202,5.542
Soil14_CE_251_N2_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.194,nan,nan,nan,nan,nan,nan,0.114,5.663
Soil15_CE_251_N5_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.194,nan,nan,nan,nan,nan,nan,0.000,7.055
Soil16_CE_251_N6_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.389,nan,nan,nan,nan,nan,nan,0.546,14.216
Soil17_CE_251_N3_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.583,nan,nan,nan,nan,nan,nan,1.429,5.984
Soil3_CE_239_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,0.554
Soil5_CE_201_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,0.554
Soil6_CE_73_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.292,nan,nan,nan,nan,nan,nan,0.028,3.755
Soil9_CE_277_0_None_T0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.583,nan,nan,nan,nan,nan,nan,0.000,3.827
