,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,nan,nan,nan,nan,nan,nan,1.791,2.727,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_None_T0,nan,nan,nan,nan,nan,nan,nan,2.338,1.467,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_None_T0,nan,nan,nan,nan,nan,nan,nan,1.189,0.685,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_None_T0,nan,nan,nan,nan,nan,nan,nan,3.575,2.043,nan,0.000,0.427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_None_T0,nan,nan,nan,nan,nan,nan,nan,4.456,1.551,nan,0.000,0.427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil17_CE_251_N3_0_None_T0,nan,nan,nan,nan,nan,nan,nan,2.271,2.718,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil3_CE_239_0_None_T0,nan,nan,nan,nan,nan,nan,nan,1.520,1.432,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil5_CE_201_0_None_T0,nan,nan,nan,nan,nan,nan,nan,3.254,1.595,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil6_CE_73_0_None_T0,nan,nan,nan,nan,nan,nan,nan,4.582,4.316,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil9_CE_277_0_None_T0,nan,nan,nan,nan,nan,nan,nan,3.564,5.139,nan,1.000,1.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
